@relation courses
@attribute voteCount NUMERIC
@attribute voteValue NUMERIC
@attribute simiCount NUMERIC
@attribute bookCount NUMERIC
@attribute bookExist NUMERIC
@attribute voteOrnot NUMERIC
@attribute freeOrnot NUMERIC
@data

21,4.66667,0,0,0,1,1
19,4.52632,0,0,0,1,0
18,4.5,10,0,0,1,0
23,4.47826,10,0,0,1,1
19,4.47368,10,0,0,1,1
19,4.42105,10,0,0,1,1
19,4.42105,7,0,0,1,1
18,4.38889,0,0,0,1,1
18,4.38889,10,0,0,1,1
18,4.38889,10,0,0,1,0
18,4.38889,0,0,0,1,1
21,4.38095,10,0,0,1,1
21,4.38095,10,0,0,1,0
198,4.37879,10,0,0,1,1
27,4.37037,10,0,0,1,1
19,4.36842,10,0,0,1,1
19,4.36842,1,21,1,1,0
19,4.36842,10,0,0,1,1
30,4.36667,22,21,1,1,1
25,4.36,0,0,0,1,1
20,4.35,0,0,0,1,0
20,4.35,10,0,0,1,0
20,4.35,10,0,0,1,0
20,4.35,10,0,0,1,0
18,4.33333,0,0,0,1,0
18,4.33333,0,0,0,1,0
27,4.33333,10,0,0,1,1
27,4.33333,10,0,0,1,1
21,4.33333,10,0,0,1,0
21,4.33333,0,0,0,1,0
21,4.33333,10,0,0,1,1
18,4.33333,10,0,0,1,0
18,4.33333,10,0,0,1,0
18,4.33333,19,24,1,1,1
18,4.33333,0,0,0,1,0
18,4.33333,10,0,0,1,0
18,4.33333,10,0,0,1,0
18,4.33333,10,0,0,1,0
18,4.33333,7,0,0,1,1
18,4.33333,7,0,0,1,1
18,4.33333,10,0,0,1,1
25,4.32,10,0,0,1,0
22,4.31818,10,0,0,1,0
22,4.31818,14,0,0,1,0
19,4.31579,10,0,0,1,0
19,4.31579,0,0,0,1,0
19,4.31579,8,0,0,1,1
19,4.31579,12,0,0,1,1
35,4.31429,10,0,0,1,1
26,4.30769,10,0,0,1,1
23,4.30435,10,0,0,1,0
20,4.3,10,0,0,1,1
20,4.3,10,0,0,1,1
20,4.3,10,0,0,1,1
227,4.29075,0,0,0,1,0
28,4.28571,3,14,1,1,1
21,4.28571,10,0,0,1,0
21,4.28571,0,0,0,1,0
21,4.28571,0,0,0,1,0
226,4.28319,10,0,0,1,0
255,4.28235,10,0,0,1,0
18,4.27778,0,0,0,1,0
18,4.27778,0,0,0,1,0
18,4.27778,10,0,0,1,0
18,4.27778,10,0,0,1,0
18,4.27778,10,0,0,1,0
18,4.27778,10,0,0,1,0
18,4.27778,0,0,0,1,0
18,4.27778,16,0,0,1,1
18,4.27778,4,20,1,1,1
22,4.27273,10,0,0,1,1
22,4.27273,14,20,1,1,1
30,4.26667,10,0,0,1,1
19,4.26316,0,0,0,1,0
19,4.26316,0,0,0,1,0
19,4.26316,0,0,0,1,0
19,4.26316,0,0,0,1,1
19,4.26316,0,0,0,1,1
19,4.26316,10,0,0,1,0
19,4.26316,10,0,0,1,1
19,4.26316,0,0,0,1,0
19,4.26316,10,0,0,1,1
23,4.26087,13,0,0,1,1
35,4.25714,12,0,0,1,1
20,4.25,0,0,0,1,1
20,4.25,10,0,0,1,0
20,4.25,10,0,0,1,1
189,4.24868,0,0,0,1,0
379,4.24274,15,23,1,1,1
33,4.24242,7,0,0,1,1
25,4.24,10,0,0,1,1
21,4.2381,10,0,0,1,0
21,4.2381,10,0,0,1,0
21,4.2381,10,0,0,1,0
21,4.2381,10,0,0,1,1
294,4.23469,10,0,0,1,1
311,4.23151,12,21,1,1,1
317,4.23028,12,18,1,1,1
22,4.22727,10,0,0,1,1
22,4.22727,10,0,0,1,0
22,4.22727,10,0,0,1,1
22,4.22727,10,0,0,1,0
22,4.22727,10,0,0,1,1
22,4.22727,10,0,0,1,1
297,4.22559,15,23,1,1,1
18,4.22222,10,0,0,1,0
18,4.22222,0,0,0,1,1
27,4.22222,9,0,0,1,1
18,4.22222,0,0,0,1,0
18,4.22222,10,0,0,1,1
18,4.22222,10,0,0,1,1
18,4.22222,10,0,0,1,1
18,4.22222,0,0,0,1,0
18,4.22222,0,0,0,1,0
18,4.22222,10,0,0,1,1
18,4.22222,8,0,0,1,1
18,4.22222,0,0,0,1,1
18,4.22222,9,0,0,1,1
18,4.22222,4,20,1,1,1
18,4.22222,0,0,0,1,1
18,4.22222,0,0,0,1,1
18,4.22222,10,0,0,1,1
218,4.22018,10,0,0,1,0
32,4.21875,15,19,1,1,1
23,4.21739,10,0,0,1,0
23,4.21739,10,0,0,1,1
84,4.21429,10,0,0,1,1
56,4.21429,5,0,0,1,1
295,4.21356,10,0,0,1,1
260,4.21154,10,0,0,1,1
19,4.21053,0,0,0,1,0
38,4.21053,10,0,0,1,1
19,4.21053,10,0,0,1,0
19,4.21053,10,0,0,1,0
19,4.21053,10,0,0,1,1
19,4.21053,10,0,0,1,1
19,4.21053,7,24,1,1,1
19,4.21053,8,0,0,1,1
19,4.21053,23,22,1,1,1
43,4.2093,7,0,0,1,1
24,4.20833,10,0,0,1,1
58,4.2069,17,23,1,1,1
29,4.2069,10,0,0,1,1
29,4.2069,10,0,0,1,1
281,4.20641,9,0,0,1,1
306,4.20425,15,23,1,1,1
32,4.20312,9,0,0,1,1
302,4.20199,10,0,0,1,1
20,4.2,0,0,0,1,0
20,4.2,0,0,0,1,0
50,4.2,10,0,0,1,1
20,4.2,6,0,0,1,1
20,4.2,5,21,1,1,0
20,4.2,10,0,0,1,1
20,4.2,10,0,0,1,1
20,4.2,10,0,0,1,0
20,4.2,10,0,0,1,0
20,4.2,10,0,0,1,0
20,4.2,0,0,0,1,0
93,4.19892,2,24,1,1,1
282,4.19858,13,21,1,1,1
116,4.19828,10,0,0,1,1
315,4.19683,2,23,1,1,1
310,4.19677,10,0,0,1,1
202,4.19307,10,0,0,1,0
47,4.19149,0,0,0,1,1
21,4.19048,10,0,0,1,0
21,4.19048,10,0,0,1,1
21,4.19048,10,0,0,1,0
21,4.19048,10,0,0,1,0
21,4.19048,0,0,0,1,0
21,4.19048,0,0,0,1,0
21,4.19048,10,0,0,1,1
21,4.19048,9,0,0,1,1
21,4.19048,0,0,0,1,1
21,4.19048,12,0,0,1,1
21,4.19048,14,23,1,1,1
352,4.19034,15,20,1,1,1
58,4.18966,7,0,0,1,1
32,4.1875,10,0,0,1,1
32,4.1875,10,0,0,1,1
317,4.18612,10,0,0,1,1
307,4.18567,15,23,1,1,1
27,4.18518,6,0,0,1,1
311,4.18328,10,0,0,1,1
526,4.18251,11,0,0,1,1
253,4.18182,10,0,0,1,1
22,4.18182,0,0,0,1,1
22,4.18182,10,0,0,1,1
22,4.18182,10,0,0,1,0
22,4.18182,9,0,0,1,1
272,4.18015,12,10,1,1,1
328,4.1753,12,23,1,1,1
310,4.17419,10,0,0,1,1
115,4.17391,10,0,0,1,1
23,4.17391,10,0,0,1,0
23,4.17391,10,0,0,1,1
23,4.17391,10,0,0,1,1
23,4.17391,10,0,0,1,1
42,4.16667,10,0,0,1,1
36,4.16667,10,0,0,1,1
30,4.16667,10,0,0,1,1
24,4.16667,10,0,0,1,1
24,4.16667,10,0,0,1,0
24,4.16667,10,0,0,1,1
24,4.16667,10,0,0,1,0
24,4.16667,10,0,0,1,1
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,1
18,4.16667,10,0,0,1,1
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,1
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,0
18,4.16667,10,0,0,1,1
18,4.16667,10,0,0,1,0
18,4.16667,14,0,0,1,0
18,4.16667,11,0,0,1,0
18,4.16667,0,0,0,1,0
18,4.16667,0,0,0,1,0
18,4.16667,8,0,0,1,1
18,4.16667,9,0,0,1,1
18,4.16667,13,0,0,1,1
18,4.16667,12,0,0,1,1
18,4.16667,7,0,0,1,1
18,4.16667,0,0,0,1,1
18,4.16667,0,0,0,1,1
18,4.16667,7,0,0,1,1
286,4.16608,2,24,1,1,1
297,4.16498,9,0,0,1,1
304,4.16447,10,0,0,1,1
49,4.16327,9,0,0,1,1
100,4.16,10,0,0,1,1
25,4.16,10,0,0,1,0
25,4.16,10,0,0,1,1
25,4.16,10,0,0,1,1
44,4.15909,10,0,0,1,1
126,4.15873,12,0,0,1,1
19,4.15789,0,0,0,1,0
19,4.15789,10,0,0,1,0
19,4.15789,10,0,0,1,0
19,4.15789,10,0,0,1,0
19,4.15789,10,0,0,1,0
19,4.15789,2,24,1,1,0
19,4.15789,14,0,0,1,0
19,4.15789,9,0,0,1,1
19,4.15789,9,0,0,1,1
19,4.15789,0,0,0,1,1
19,4.15789,0,0,0,1,1
19,4.15789,10,0,0,1,1
19,4.15789,13,21,1,1,1
19,4.15789,18,0,0,1,0
276,4.1558,10,0,0,1,1
303,4.15512,5,12,1,1,1
26,4.15385,12,24,1,1,1
33,4.15152,16,23,1,1,1
106,4.15094,9,0,0,1,1
20,4.15,0,0,0,1,0
20,4.15,10,0,0,1,1
20,4.15,0,0,0,1,0
20,4.15,10,0,0,1,0
20,4.15,10,0,0,1,0
20,4.15,10,0,0,1,1
20,4.15,10,0,0,1,0
20,4.15,10,0,0,1,0
20,4.15,10,0,0,1,1
61,4.14754,8,0,0,1,1
95,4.14737,9,0,0,1,1
95,4.14737,10,0,0,1,1
102,4.14706,10,0,0,1,1
34,4.14706,10,0,0,1,1
56,4.14286,5,0,0,1,1
28,4.14286,10,0,0,1,1
28,4.14286,10,0,0,1,1
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,0
21,4.14286,10,0,0,1,1
21,4.14286,10,0,0,1,1
21,4.14286,10,0,0,1,1
21,4.14286,11,21,1,1,1
324,4.14198,10,0,0,1,1
50,4.14,10,0,0,1,1
93,4.13978,12,0,0,1,1
123,4.13821,5,0,0,1,1
109,4.13761,14,23,1,1,1
22,4.13636,10,0,0,1,1
22,4.13636,10,0,0,1,1
22,4.13636,10,0,0,1,0
22,4.13636,10,0,0,1,0
